bs,seq,nh,nkv,hd,t_measured_ms
1,16,8,8,64,0.033567193895578384
1,16,16,2,64,0.03439886495471001
1,16,16,4,128,0.03340700641274452
1,16,32,1,128,0.03663916140794754
1,16,32,8,64,0.031167175620794296
1,16,64,2,64,0.03395089879631996
1,16,64,8,64,0.03347126767039299
1,16,128,1,128,0.034590717405080795
1,16,128,4,128,0.03215903416275978
1,32,2,2,64,0.03311876207590103
1,32,2,8,64,-1.0
1,32,4,2,64,0.03215856850147247
1,32,4,8,64,-1.0
1,32,8,1,128,0.03491109237074852
1,32,8,4,64,0.0340794213116169
1,32,16,1,128,0.03302283585071564
1,32,16,4,64,0.03615906462073326
1,32,32,2,64,0.03340700641274452
1,32,32,8,64,0.03414275124669075
1,32,64,2,64,0.03465497866272926
1,32,64,4,128,0.0324789434671402
1,32,128,1,128,0.032607000321149826
1,32,128,4,128,0.03212690353393555
1,64,2,1,128,0.03340700641274452
1,64,2,4,128,-1.0
1,64,4,1,128,0.03392016515135765
1,64,4,4,64,0.03203097730875015
1,64,8,1,128,0.03148708492517471
1,64,8,4,64,0.03203144297003746
1,64,16,1,64,0.03244727849960327
1,64,16,4,64,0.03295904025435448
1,64,32,1,64,0.03372691571712494
1,64,32,4,64,0.03235135227441788
1,64,64,1,64,0.0375029630959034
1,64,64,8,64,0.030814670026302338
1,64,128,1,128,0.03225542604923248
1,64,128,8,64,0.032191164791584015
1,128,2,1,128,0.03142422065138817
1,128,2,4,128,-1.0
1,128,4,1,64,0.03343867138028145
1,128,4,4,64,0.031422823667526245
1,128,8,1,64,0.03503914922475815
1,128,8,4,64,0.03257486969232559
1,128,16,1,64,0.033183954656124115
1,128,16,2,128,0.03164680674672127
1,128,16,8,64,0.033150892704725266
1,128,32,2,64,0.0352947972714901
1,128,32,4,128,0.03439886495471001
1,128,64,1,128,0.03427080810070038
1,128,64,4,128,0.036254990845918655
1,128,128,1,128,0.0346871092915535
1,128,128,8,64,0.03263866528868675
1,256,2,2,64,0.03631925210356712
1,256,2,8,64,-1.0
1,256,2,8,128,-1.0
1,256,4,1,128,0.03667082637548447
1,256,4,4,64,0.03359932452440262
1,256,8,2,64,0.03491109237074852
1,256,8,4,128,0.03964593634009361
1,256,16,1,128,0.03868667408823967
1,256,16,4,128,0.038271304219961166
1,256,32,1,128,0.039517879486083984
1,256,32,4,128,0.040255021303892136
1,256,64,1,128,0.03420701250433922
1,256,64,2,128,0.03558304160833359
1,256,64,8,128,0.03497488796710968
1,256,128,4,128,0.04086177796125412
1,512,2,1,128,0.03785500302910805
1,512,2,4,64,-1.0
1,512,2,8,64,-1.0
1,512,4,1,64,0.035647302865982056
1,512,4,4,64,0.035550910979509354
1,512,8,1,64,0.03830203786492348
1,512,8,4,128,0.03843102604150772
1,512,8,8,128,0.03759888932108879
1,512,16,4,64,0.03929482772946358
1,512,16,8,128,0.041886698454618454
1,512,32,2,128,0.04143873229622841
1,512,32,8,128,0.041279010474681854
1,512,64,2,128,0.05353381857275963
1,512,64,8,128,0.053470954298973083
1,512,128,2,128,0.08447840809822083
1,1024,2,1,64,0.036765821278095245
1,1024,2,2,64,0.036446843296289444
1,1024,2,8,64,-1.0
1,1024,4,2,64,0.04028715193271637
1,1024,4,8,64,-1.0
1,1024,8,1,64,0.03980705514550209
1,1024,8,4,128,0.05062296986579895
1,1024,16,1,128,0.05532614886760712
1,1024,32,1,128,0.07718196138739586
1,1024,32,4,128,0.07714889943599701
1,1024,64,1,128,0.1344289630651474
1,1024,64,4,128,0.13609277084469795
1,1024,128,1,128,0.24472875520586967
1,1024,128,8,64,0.15222001820802689
1,2048,2,1,128,0.0508786179125309
1,2048,2,4,128,-1.0
1,2048,4,1,64,0.04812609404325485
1,2048,4,4,64,0.047359149903059006
1,2048,8,1,64,0.05897507071495056
1,2048,8,4,64,0.059934332966804504
1,2048,16,1,64,0.08303811773657799
1,2048,16,4,64,0.08210912346839905
